38.5,-0.3,-0.03,1.306,0.844,0.002,-0.016,10.011,330.17,34.12,6.9,0,0,41.021746,342.07,,1,1,1,1,,432,,,0.6
38.75,-0.25,-0.025,1.514,0.735,0.079,0.001,9.837,330.17,34.12,6.9,0,0,41.021746,342.07,,1,1,1,1,,432.5,,,0.6
39,-0.2,-0.02,1.514,0.735,0.079,0.001,9.837,330.17,34.12,6.9,0,0,41.021746,342.07,,1,1,1,1,,433,,,0.7
39.25,-0.15,-0.015,1.6,0.547,0.164,-0.012,9.651,330.27,32.28,5.8,0,0,38.809553,341.07,,1,1,1,1,,433.5,,,0.7
39.5,-0.1,-0.01,1.6,0.547,0.164,-0.012,9.651,330.27,32.28,5.8,0,0,38.809553,341.07,,1,1,1,1,,434,,,0.7
39.75,-0.05,-0.005,1.547,0.296,0.237,-0.025,9.486,330.27,32.28,5.8,0,0,38.809553,341.07,,1,1,1,1,,434.5,,,0.7
40,0,0,1.547,0.296,0.237,-0.025,9.486,330.27,32.28,5.8,0,0,38.809553,341.07,,1,1,1,1,,435,,,0.7
40.25,0.05,0.005,1.352,0.008,0.3,-0.035,9.337,330.37,30.43,8.4,0,0,36.585338,343.77,,1,1,1,1,,435.5,,,0.7
40.5,0.1,0.01,1.352,0.008,0.3,-0.035,9.337,330.37,30.43,8.4,0,0,36.585338,343.77,,1,1,1,1,,436,,,0.7
40.75,0.15,0.015,1.025,-0.303,0.347,-0.007,9.219,330.37,30.43,8.4,0,0,36.585338,343.77,,1,1,1,1,,436.5,,,0.7
41,0.2,0.02,1.025,-0.303,0.347,-0.007,9.219,330.37,30.43,8.4,0,0,36.585338,343.77,,1,1,1,1,,437,,,0.7
41.25,0.25,0.025,0.585,-0.602,0.362,0.035,9.148,330.57,32.28,10.8,0,0,38.809553,346.37,,1,1,1,1,,437.5,,,0.7
41.5,0.3,0.03,0.585,-0.602,0.362,0.035,9.148,330.57,32.28,10.8,0,0,38.809553,346.37,,1,1,1,1,,438,,,0.7
41.75,0.35,0.035,0.066,-0.87,0.353,0.084,9.133,330.57,32.28,10.8,0,0,38.809553,346.37,,1,1,1,1,,438.5,,,0.7
42,0.4,0.04,0.066,-0.87,0.353,0.084,9.133,330.57,32.28,10.8,0,0,38.809553,346.37,,1,1,1,1,,439,,,0.7
42.25,0.45,0.045,-0.489,-1.067,0.303,0.138,9.204,330.67,33.2,10.9,0,0,39.915649,346.57,,1,1,1,1,,439.5,,,0.7
42.5,0.5,0.05,-0.489,-1.067,0.303,0.138,9.204,330.67,33.2,10.9,0,0,39.915649,346.57,,1,1,1,1,,440,,,0.7
42.75,0.55,0.055,-1.029,-1.173,0.241,0.184,9.329,330.67,33.2,10.9,0,0,39.915649,346.57,,1,1,1,1,,440.5,,,0.7
43,0.6,0.06,-1.029,-1.173,0.241,0.184,9.329,330.67,33.2,10.9,0,0,39.915649,346.57,,1,1,1,1,,441,,,0.7
43.25,0.65,0.065,-1.498,-1.156,0.136,0.171,9.557,330.67,33.2,11.1,0,0,39.915649,346.77,,1,1,1,1,,441.5,,,0.7
43.5,0.7,0.07,-1.498,-1.156,0.136,0.171,9.557,330.67,33.2,11.1,0,0,39.915649,346.77,,1,1,1,1,,442,,,0.7
43.75,0.75,0.075,-1.839,-1.008,0.022,0.108,9.818,330.67,33.2,11.1,0,0,39.915649,346.77,,1,1,1,1,,442.5,,,0.7
44,0.8,0.08,-1.839,-1.008,0.022,0.108,9.818,330.67,33.2,11.1,0,0,39.915649,346.77,,1,1,1,1,,443,,,0.7
44.25,0.85,0.085,-2.007,-0.739,-0.089,0.04,10.095,330.67,32.28,9,0,0,38.809553,344.67,,1,1,1,1,,443.5,,,0.7
44.5,0.9,0.09,-2.007,-0.739,-0.089,0.04,10.095,330.67,32.28,9,0,0,38.809553,344.67,,1,1,1,1,,444,,,0.7
